,length of string,avg entropy,avg entropy of same length,average entropy of lenght x 100
51,5371,5.994547036671238,6.934450044361254,6.957522768974729
52,5430,5.994723377424296,6.943814930967549,6.956688921156325
53,5606,5.9937396391485125,6.935148887682871,6.957250828067806
54,5694,5.99586608954109,6.94146581739011,6.9574209317156
55,5801,5.992993302130082,6.943397849889976,6.956746611154982
56,5848,5.99452546619531,6.95153873236214,6.956498339908953
57,5958,5.997892161481966,6.953822512987518,6.957963621720914
58,6107,5.997113462763629,6.945369677957826,6.956437040267039
59,6408,5.994934980700877,6.944172295871362,6.955803930679486
60,6293,5.997205814066937,6.946639813485311,6.9569106248973185
61,6356,5.9952127682586625,6.936544981419217,6.957364157171987
62,6560,5.995616051453967,6.935389358746473,6.956596742632722
63,6556,5.994625926431249,6.947131973026309,6.956896494253125
64,6783,5.9984687097015295,6.943101886683042,6.955793481847982
65,6882,5.9972061996734265,6.936085462934046,6.956700938043819
66,7121,5.995257738767612,6.945553544869178,6.957380089447114
67,7127,5.996456093302186,6.936803060980998,6.95737664804989
68,7209,5.99657285397973,6.945477558587062,6.957138170470032
69,7366,5.994558020926309,6.952440122287711,6.956341105281509
70,7349,5.997041110416205,6.938187566952154,6.956406166083979
71,7417,5.996373815009158,6.953253549485311,6.956612042949699
72,7540,5.996913532019267,6.943400537213991,6.957129858349152
73,7696,5.997016322202776,6.9522582541745575,6.956629592895801
74,7630,5.99467843181626,6.9370312466713875,6.957173735946382
75,8039,5.9974949112945435,6.943229642072947,6.956874322947287
76,8141,5.997420704552171,6.941172099756593,6.956172019049181
77,7975,5.998255709739156,6.948380921381622,6.956613295532329
78,8204,5.995276026248516,6.938138063385299,6.956850470884199
79,8288,5.998539750783035,6.9449862019537685,6.956065681351429
80,8403,5.996494659150725,6.94281310365958,6.957097965731107
81,8481,5.9963761851346735,6.942695684987008,6.95663195260017
82,8644,5.9971946415436514,6.946152724847903,6.957159870879383
83,8680,5.996666826068943,6.9418577228857545,6.95737063228948
84,8754,5.997018492906077,6.946966360296372,6.956749046619576
85,8736,5.9964854903388805,6.939394955513381,6.955726886287392
86,9154,5.9977061125036695,6.932794039146389,6.956098695938361
87,9140,5.996966288705953,6.947638598231007,6.9569975358740415
88,9205,5.9957273057627845,6.945814877454988,6.956343317520723
89,9394,5.995352397434467,6.949822415827848,6.957382547108823
90,9594,5.997241913027291,6.95315635290547,6.957682270164829
91,9675,5.995898049391783,6.957758495876057,6.956426865990949
92,9595,5.996666068676385,6.951130973168378,6.957136779516143
93,9785,5.99614316841496,6.951380640302066,6.956429567418481
94,10057,5.998141910104775,6.947827372833218,6.956516747909041
95,9828,5.996541158705367,6.952548613352728,6.956922440549354
96,10049,5.997793292732303,6.94733727289889,6.956494070011886
97,10145,5.997379754883936,6.95105366597116,6.957102876803897
98,10350,5.997728606338859,6.94631933637971,6.956855700033808
